
UART_OK
[TB] v2b_arm_fashion14_trace start - 10 Fashion 14x14 samples via AXI-Lite
[TB] V2B_SOC_BASE=0xa0000000
[OK] MMIO round-trip CFG1
TRACE_HASH_BEGIN config=v2b_fc_fashion14_2L host=arm sample=0
HASH layer=0 t=8 buf=A 0x63CE201A
HASH layer=0 t=9 buf=A 0x53AD6A39
HASH layer=0 t=10 buf=A 0x29C5BC03
HASH layer=0 t=11 buf=A 0xE6A49686
HASH layer=0 t=12 buf=A 0xA72020DA
HASH layer=0 t=13 buf=A 0x4CEF6625
HASH layer=0 t=14 buf=A 0xB2997025
HASH layer=0 t=15 buf=A 0x5E0A882A
HASH layer=0 t=16 buf=A 0x350DBCFD
HASH layer=0 t=17 buf=A 0xA9637EFE
HASH layer=0 t=18 buf=A 0xA27D314D
HASH layer=0 t=19 buf=A 0x05C5F5ED
HASH layer=0 t=20 buf=A 0x14170FAD
HASH layer=0 t=21 buf=A 0x27967092
HASH layer=0 t=22 buf=A 0x086187A2
HASH layer=0 t=23 buf=A 0xB34AD4EF
HASH layer=0 t=24 buf=A 0xB181EFE5
HASH layer=0 t=25 buf=A 0xA48AF8FA
HASH layer=0 t=26 buf=A 0xAA9A0FC2
HASH layer=0 t=27 buf=A 0x29DB6E60
HASH layer=0 t=28 buf=A 0x526B5330
HASH layer=0 t=29 buf=A 0x99DD0800
HASH layer=0 t=30 buf=A 0x36D3DCC6
HASH layer=0 t=31 buf=A 0xDBFC40D1
HASH layer=0 t=32 buf=A 0xD09B8B2A
HASH layer=0 t=33 buf=A 0xD912B63B
HASH layer=0 t=34 buf=A 0x0105F995
HASH layer=0 t=35 buf=A 0x8CBE046E
HASH layer=0 t=36 buf=A 0x675C3B52
HASH layer=0 t=37 buf=A 0xBBF4CD87
HASH layer=0 t=38 buf=A 0x53905930
HASH layer=0 t=39 buf=A 0x22E65DE7
HASH layer=0 t=40 buf=A 0x3B42151F
HASH layer=0 t=41 buf=A 0x2295B857
HASH layer=0 t=42 buf=A 0x23864DA7
HASH layer=0 t=43 buf=A 0xE6D75CC6
HASH layer=0 t=44 buf=A 0xAADB8B49
HASH layer=0 t=45 buf=A 0x0AFB7EE5
HASH layer=0 t=46 buf=A 0x7C514A92
HASH layer=0 t=47 buf=A 0x116C2C1A
HASH layer=0 t=48 buf=A 0x7ECEBC8B
HASH layer=0 t=49 buf=A 0x0E25C36E
HASH layer=0 t=50 buf=A 0xF5D1E3A9
HASH layer=0 t=51 buf=A 0xBFD7A653
HASH layer=0 t=52 buf=A 0x5B512841
HASH layer=0 t=53 buf=A 0x8B172DEC
HASH layer=0 t=54 buf=A 0x52F4D399
HASH layer=0 t=55 buf=A 0xD4EEEDB8
HASH layer=0 t=56 buf=A 0xDDF2C33A
HASH layer=0 t=57 buf=A 0x1F8962AE
HASH layer=0 t=58 buf=A 0xE6E76593
HASH layer=0 t=59 buf=A 0x025203EA
HASH layer=0 t=60 buf=A 0x364AEC9D
HASH layer=0 t=61 buf=A 0x38A20A18
HASH layer=0 t=62 buf=A 0x4CF417D0
HASH layer=0 t=63 buf=A 0x4D1D099E
HASH layer=1 t=0 buf=B 0xE129EF7F
HASH layer=1 t=1 buf=B 0x2C4D366D
HASH layer=1 t=2 buf=B 0x80032751
HASH layer=1 t=3 buf=B 0xB9C912CF
HASH layer=1 t=4 buf=B 0x96F66B39
HASH layer=1 t=5 buf=B 0xDC347968
HASH layer=1 t=6 buf=B 0x03724F9B
HASH layer=1 t=7 buf=B 0x49B05DCA
HASH layer=1 t=8 buf=B 0x5D0CBC77
HASH layer=1 t=9 buf=B 0x17CEAE26
HASH layer=1 t=10 buf=B 0xC88898D5
HASH layer=1 t=11 buf=B 0x824A8A84
HASH layer=1 t=12 buf=B 0xAD75F372
HASH layer=1 t=13 buf=B 0xE7B7E123
HASH layer=1 t=14 buf=B 0x38F1D7D0
HASH layer=1 t=15 buf=B 0x7233C581
HASH layer=1 t=16 buf=B 0x118814AA
HASH layer=1 t=17 buf=B 0x5B4A06FB
HASH layer=1 t=18 buf=B 0x840C3008
HASH layer=1 t=19 buf=B 0xCECE2259
HASH layer=1 t=20 buf=B 0xE1F15BAF
HASH layer=1 t=21 buf=B 0xAB3349FE
HASH layer=1 t=22 buf=B 0x74757F0D
HASH layer=1 t=23 buf=B 0x3EB76D5C
HASH layer=1 t=24 buf=B 0x2A0B8CE1
HASH layer=1 t=25 buf=B 0x60C99EB0
HASH layer=1 t=26 buf=B 0xBF8FA843
HASH layer=1 t=27 buf=B 0xF54DBA12
HASH layer=1 t=28 buf=B 0xDA72C3E4
HASH layer=1 t=29 buf=B 0x90B0D1B5
HASH layer=1 t=30 buf=B 0x4FF6E746
HASH layer=1 t=31 buf=B 0x0534F517
HASH layer=1 t=32 buf=B 0x88814510
HASH layer=1 t=33 buf=B 0xC2435741
HASH layer=1 t=34 buf=B 0x1D0561B2
HASH layer=1 t=35 buf=B 0x57C773E3
HASH layer=1 t=36 buf=B 0x78F80A15
HASH layer=1 t=37 buf=B 0x323A1844
HASH layer=1 t=38 buf=B 0xED7C2EB7
HASH layer=1 t=39 buf=B 0xA7BE3CE6
HASH layer=1 t=40 buf=B 0xB302DD5B
HASH layer=1 t=41 buf=B 0xF9C0CF0A
HASH layer=1 t=42 buf=B 0x2686F9F9
HASH layer=1 t=43 buf=B 0x6C44EBA8
HASH layer=1 t=44 buf=B 0x437B925E
HASH layer=1 t=45 buf=B 0x09B9800F
HASH layer=1 t=46 buf=B 0xD6FFB6FC
HASH layer=1 t=47 buf=B 0x9C3DA4AD
HASH layer=1 t=48 buf=B 0xFF867586
HASH layer=1 t=49 buf=B 0xB54467D7
HASH layer=1 t=50 buf=B 0x6A025124
HASH layer=1 t=51 buf=B 0x20C04375
HASH layer=1 t=52 buf=B 0x0FFF3A83
HASH layer=1 t=53 buf=B 0x453D28D2
HASH layer=1 t=54 buf=B 0x9A7B1E21
HASH layer=1 t=55 buf=B 0xD0B90C70
HASH layer=1 t=56 buf=B 0xC405EDCD
HASH layer=1 t=57 buf=B 0x8EC7FF9C
HASH layer=1 t=58 buf=B 0x5181C96F
HASH layer=1 t=59 buf=B 0x1B43DB3E
HASH layer=1 t=60 buf=B 0x347CA2C8
HASH layer=1 t=61 buf=B 0x7EBEB099
HASH layer=1 t=62 buf=B 0xA1F8866A
HASH layer=1 t=63 buf=B 0xEB3A943B
TRACE_HASH_END count=128
[PASS] sample 4 label=4 pred=4 counts=[0 0 0 0 63 0 1 0 0 0]
TRACE_HASH_BEGIN config=v2b_fc_fashion14_2L host=arm sample=5
HASH layer=0 t=0 buf=A 0xC7F0DFD3
HASH layer=0 t=1 buf=A 0x52797394
HASH layer=0 t=2 buf=A 0x2AE6606F
HASH layer=0 t=3 buf=A 0x2C110839
HASH layer=0 t=4 buf=A 0x3960E100
HASH layer=0 t=5 buf=A 0xE5235C6B
HASH layer=0 t=6 buf=A 0x199CD4EE
HASH layer=0 t=7 buf=A 0x6AE4B8A1
HASH layer=0 t=8 buf=A 0x6037F162
HASH layer=0 t=9 buf=A 0xAEAF1287
HASH layer=0 t=10 buf=A 0xEBDBBB36
HASH layer=0 t=11 buf=A 0x55EE5895
HASH layer=0 t=12 buf=A 0xF8AE1491
HASH layer=0 t=13 buf=A 0xA63FB880
HASH layer=0 t=14 buf=A 0x7A34DB4E
HASH layer=0 t=15 buf=A 0x38D4F3DD
HASH layer=0 t=16 buf=A 0x0157005E
HASH layer=0 t=17 buf=A 0xC57E028A
HASH layer=0 t=18 buf=A 0x4266A842
HASH layer=0 t=19 buf=A 0xB4CE4582
HASH layer=0 t=20 buf=A 0x9CDEAFFC
HASH layer=0 t=21 buf=A 0x0676033C
HASH layer=0 t=22 buf=A 0x3178AA3E
HASH layer=0 t=23 buf=A 0x39DF578B
HASH layer=0 t=24 buf=A 0x6FD9045E
HASH layer=0 t=25 buf=A 0x12D34F09
HASH layer=0 t=26 buf=A 0x12A69763
HASH layer=0 t=27 buf=A 0x7BBC195C
HASH layer=0 t=28 buf=A 0x485798D7
HASH layer=0 t=29 buf=A 0x2C9820DC
HASH layer=0 t=30 buf=A 0x37B3F4D2
HASH layer=0 t=31 buf=A 0xB24274E2
HASH layer=0 t=32 buf=A 0x26167BD6
HASH layer=0 t=33 buf=A 0xC9E4749D
HASH layer=0 t=34 buf=A 0x8B94A438
HASH layer=0 t=35 buf=A 0x57D76378
HASH layer=0 t=36 buf=A 0xCDBEC54F
HASH layer=0 t=37 buf=A 0xDAA1ED46
HASH layer=0 t=38 buf=A 0xA64DFF98
HASH layer=0 t=39 buf=A 0x1DFC7187
HASH layer=0 t=40 buf=A 0x1BE14BAF
HASH layer=0 t=41 buf=A 0x9BB547F5
HASH layer=0 t=42 buf=A 0xEABDB228
HASH layer=0 t=43 buf=A 0x3AFB3626
HASH layer=0 t=44 buf=A 0xC49CE1CD
HASH layer=0 t=45 buf=A 0xA8DB8F1E
HASH layer=0 t=46 buf=A 0x58BED19D
HASH layer=0 t=47 buf=A 0x2909A92F
HASH layer=0 t=48 buf=A 0xB1768133
HASH layer=0 t=49 buf=A 0x2F3B1761
HASH layer=0 t=50 buf=A 0x130B1824
HASH layer=0 t=51 buf=A 0xAA59E93A
HASH layer=0 t=52 buf=A 0x864D3A03
HASH layer=0 t=53 buf=A 0x78F5EE87
HASH layer=0 t=54 buf=A 0x113805E6
HASH layer=0 t=55 buf=A 0x135C3670
HASH layer=0 t=56 buf=A 0xD13FCB66
HASH layer=0 t=57 buf=A 0x779C710D
HASH layer=0 t=58 buf=A 0x0E887335
HASH layer=0 t=59 buf=A 0x6C6A6F2D
HASH layer=0 t=60 buf=A 0x77C436E6
HASH layer=0 t=61 buf=A 0x35975404
HASH layer=0 t=62 buf=A 0x16A7DF19
HASH layer=0 t=63 buf=A 0x4B214870
HASH layer=1 t=0 buf=B 0xE129EF7F
HASH layer=1 t=1 buf=B 0xB7647E6F
HASH layer=1 t=2 buf=B 0x46811484
HASH layer=1 t=3 buf=B 0x0C4306D5
HASH layer=1 t=4 buf=B 0x7E3AC713
HASH layer=1 t=5 buf=B 0x69BE6D72
HASH layer=1 t=6 buf=B 0xB6F85B81
HASH layer=1 t=7 buf=B 0xFC3A49D0
HASH layer=1 t=8 buf=B 0xE886A86D
HASH layer=1 t=9 buf=B 0xA244BA3C
HASH layer=1 t=10 buf=B 0x7D028CCF
HASH layer=1 t=11 buf=B 0x37C09E9E
HASH layer=1 t=12 buf=B 0x18FFE768
HASH layer=1 t=13 buf=B 0x523DF539
HASH layer=1 t=14 buf=B 0x8D7BC3CA
HASH layer=1 t=15 buf=B 0xC7B9D19B
HASH layer=1 t=16 buf=B 0xA40200B0
HASH layer=1 t=17 buf=B 0xEEC012E1
HASH layer=1 t=18 buf=B 0x31862412
HASH layer=1 t=19 buf=B 0x7B443643
HASH layer=1 t=20 buf=B 0x547B4FB5
HASH layer=1 t=21 buf=B 0x1EB95DE4
HASH layer=1 t=22 buf=B 0xC1FF6B17
HASH layer=1 t=23 buf=B 0x8B3D7946
HASH layer=1 t=24 buf=B 0x9F8198FB
HASH layer=1 t=25 buf=B 0xD5438AAA
HASH layer=1 t=26 buf=B 0x0A05BC59
HASH layer=1 t=27 buf=B 0x40C7AE08
HASH layer=1 t=28 buf=B 0x6FF8D7FE
HASH layer=1 t=29 buf=B 0x253AC5AF
HASH layer=1 t=30 buf=B 0xFA7CF35C
HASH layer=1 t=31 buf=B 0xB0BEE10D
HASH layer=1 t=32 buf=B 0x3D0B510A
HASH layer=1 t=33 buf=B 0x77C9435B
HASH layer=1 t=34 buf=B 0xA88F75A8
HASH layer=1 t=35 buf=B 0xE24D67F9
HASH layer=1 t=36 buf=B 0xCD721E0F
HASH layer=1 t=37 buf=B 0x87B00C5E
HASH layer=1 t=38 buf=B 0x58F63AAD
HASH layer=1 t=39 buf=B 0x123428FC
HASH layer=1 t=40 buf=B 0x0688C941
HASH layer=1 t=41 buf=B 0x4C4ADB10
HASH layer=1 t=42 buf=B 0x930CEDE3
HASH layer=1 t=43 buf=B 0xD9CEFFB2
HASH layer=1 t=44 buf=B 0xF6F18644
HASH layer=1 t=45 buf=B 0xBC339415
HASH layer=1 t=46 buf=B 0x6375A2E6
HASH layer=1 t=47 buf=B 0x29B7B0B7
HASH layer=1 t=48 buf=B 0x4A0C619C
HASH layer=1 t=49 buf=B 0x00CE73CD
HASH layer=1 t=50 buf=B 0xDF88453E
HASH layer=1 t=51 buf=B 0x954A576F
HASH layer=1 t=52 buf=B 0xBA752E99
HASH layer=1 t=53 buf=B 0xF0B73CC8
HASH layer=1 t=54 buf=B 0x2FF10A3B
HASH layer=1 t=55 buf=B 0x6533186A
HASH layer=1 t=56 buf=B 0x718FF9D7
HASH layer=1 t=57 buf=B 0x3B4DEB86
HASH layer=1 t=58 buf=B 0xE40BDD75
HASH layer=1 t=59 buf=B 0xAEC9CF24
HASH layer=1 t=60 buf=B 0x81F6B6D2
HASH layer=1 t=61 buf=B 0xCB34A483
HASH layer=1 t=62 buf=B 0x14729270
HASH layer=1 t=63 buf=B 0x5EB08021
TRACE_HASH_END count=128
[PASS] sample 5 label=5 pred=5 counts=[1 1 0 0 0 63 0 63 0 0]
TRACE_HASH_BEGIN config=v2b_fc_fashion14_2L host=arm sample=6
HASH layer=0 t=0 buf=A 0xC7F0DFD3
HASH layer=0 t=1 buf=A 0x3140F30E
HASH layer=0 t=2 buf=A 0x35BFC94E
HASH layer=0 t=3 buf=A 0xD3F1008A
HASH layer=0 t=4 buf=A 0xD31CB47C
HASH layer=0 t=5 buf=A 0x87597605
HASH layer=0 t=6 buf=A 0xFC145B36
HASH layer=0 t=7 buf=A 0x0F56F7CD
HASH layer=0 t=8 buf=A 0x06215550
HASH layer=0 t=9 buf=A 0x3200B322
HASH layer=0 t=10 buf=A 0x82231DB4
HASH layer=0 t=11 buf=A 0x0D8D3186
HASH layer=0 t=12 buf=A 0x419C3BAE
HASH layer=0 t=13 buf=A 0x3EF38DAE
HASH layer=0 t=14 buf=A 0xAE931958
HASH layer=0 t=15 buf=A 0x6442C1D0
HASH layer=0 t=16 buf=A 0xE4CC1D34
HASH layer=0 t=17 buf=A 0xCBC2EBFC
HASH layer=0 t=18 buf=A 0x5F1721A1
HASH layer=0 t=19 buf=A 0x452A565C
HASH layer=0 t=20 buf=A 0x44242460
HASH layer=0 t=21 buf=A 0xE65C6827
HASH layer=0 t=22 buf=A 0x15A8EE66
HASH layer=0 t=23 buf=A 0x601B03D9
HASH layer=0 t=24 buf=A 0x110FA61F
HASH layer=0 t=25 buf=A 0xF1889C50
HASH layer=0 t=26 buf=A 0x60DECAA2
HASH layer=0 t=27 buf=A 0x56307226
HASH layer=0 t=28 buf=A 0xA0552D6D
HASH layer=0 t=29 buf=A 0xB57ECCB1
HASH layer=0 t=30 buf=A 0xFB4D9A50
HASH layer=0 t=31 buf=A 0xEA01936E
HASH layer=0 t=32 buf=A 0x626D9E7C
HASH layer=0 t=33 buf=A 0x9BEC6F9E
HASH layer=0 t=34 buf=A 0x803EFF03
HASH layer=0 t=35 buf=A 0x7350A2D2
HASH layer=0 t=36 buf=A 0xE0B1235E
HASH layer=0 t=37 buf=A 0xB8C39AA4
HASH layer=0 t=38 buf=A 0x36093039
HASH layer=0 t=39 buf=A 0xE6A1339E
HASH layer=0 t=40 buf=A 0x6BAB6D70
HASH layer=0 t=41 buf=A 0x8CD3369D
HASH layer=0 t=42 buf=A 0xF87F614D
HASH layer=0 t=43 buf=A 0x410F0830
HASH layer=0 t=44 buf=A 0x4BCA1305
HASH layer=0 t=45 buf=A 0xEB79B5F2
HASH layer=0 t=46 buf=A 0xC32B208B
HASH layer=0 t=47 buf=A 0xC4CB5047
HASH layer=0 t=48 buf=A 0xBAB00709
HASH layer=0 t=49 buf=A 0x840E5905
HASH layer=0 t=50 buf=A 0xB3BEA322
HASH layer=0 t=51 buf=A 0xDCA44E55
HASH layer=0 t=52 buf=A 0x06E1F2E5
HASH layer=0 t=53 buf=A 0xEAA459D3
HASH layer=0 t=54 buf=A 0x8737F79E
HASH layer=0 t=55 buf=A 0x0FA155D9
HASH layer=0 t=56 buf=A 0x3C6806C7
HASH layer=0 t=57 buf=A 0xC6F8E880
HASH layer=0 t=58 buf=A 0x086E7F26
HASH layer=0 t=59 buf=A 0x27FEAC8A
HASH layer=0 t=60 buf=A 0x724AD328
HASH layer=0 t=61 buf=A 0xF8C9302D
HASH layer=0 t=62 buf=A 0x54BE89CC
HASH layer=0 t=63 buf=A 0x0FE41DA3
HASH layer=1 t=0 buf=B 0xE129EF7F
HASH layer=1 t=1 buf=B 0x0CDF4A26
HASH layer=1 t=2 buf=B 0xD3997CD5
HASH layer=1 t=3 buf=B 0x4D67FE43
HASH layer=1 t=4 buf=B 0xB6641772
HASH layer=1 t=5 buf=B 0x289A95E4
HASH layer=1 t=6 buf=B 0x23E033D0
HASH layer=1 t=7 buf=B 0xCE169689
HASH layer=1 t=8 buf=B 0x0E96E7F3
HASH layer=1 t=9 buf=B 0x90686565
HASH layer=1 t=10 buf=B 0x9B12C351
HASH layer=1 t=11 buf=B 0xD1D0D100
HASH layer=1 t=12 buf=B 0xFEEFA8F6
HASH layer=1 t=13 buf=B 0xB42DBAA7
HASH layer=1 t=14 buf=B 0x6B6B8C54
HASH layer=1 t=15 buf=B 0xF5950EC2
HASH layer=1 t=16 buf=B 0x962EDFE9
HASH layer=1 t=17 buf=B 0xDCECCDB8
HASH layer=1 t=18 buf=B 0x03AAFB4B
HASH layer=1 t=19 buf=B 0x4968E91A
HASH layer=1 t=20 buf=B 0x665790EC
HASH layer=1 t=21 buf=B 0x2C9582BD
HASH layer=1 t=22 buf=B 0xF3D3B44E
HASH layer=1 t=23 buf=B 0xB911A61F
HASH layer=1 t=24 buf=B 0xADAD47A2
HASH layer=1 t=25 buf=B 0xE76F55F3
HASH layer=1 t=26 buf=B 0x38296300
HASH layer=1 t=27 buf=B 0x72EB7151
HASH layer=1 t=28 buf=B 0x5DD408A7
HASH layer=1 t=29 buf=B 0x17161AF6
HASH layer=1 t=30 buf=B 0xC8502C05
HASH layer=1 t=31 buf=B 0x82923E54
HASH layer=1 t=32 buf=B 0xDB1B1E94
HASH layer=1 t=33 buf=B 0x45E59C02
HASH layer=1 t=34 buf=B 0x9AA3AAF1
HASH layer=1 t=35 buf=B 0xD061B8A0
HASH layer=1 t=36 buf=B 0xFF5EC156
HASH layer=1 t=37 buf=B 0xB59CD307
HASH layer=1 t=38 buf=B 0x6ADAE5F4
HASH layer=1 t=39 buf=B 0x2018F7A5
HASH layer=1 t=40 buf=B 0x34A41618
HASH layer=1 t=41 buf=B 0x7E660449
HASH layer=1 t=42 buf=B 0xA12032BA
HASH layer=1 t=43 buf=B 0xEBE220EB
HASH layer=1 t=44 buf=B 0xC4DD591D
HASH layer=1 t=45 buf=B 0x8E1F4B4C
HASH layer=1 t=46 buf=B 0x51597DBF
HASH layer=1 t=47 buf=B 0x1B9B6FEE
HASH layer=1 t=48 buf=B 0x7820BEC5
HASH layer=1 t=49 buf=B 0x32E2AC94
HASH layer=1 t=50 buf=B 0xEDA49A67
HASH layer=1 t=51 buf=B 0xA7668836
HASH layer=1 t=52 buf=B 0x8859F1C0
HASH layer=1 t=53 buf=B 0xC29BE391
HASH layer=1 t=54 buf=B 0x1DDDD562
HASH layer=1 t=55 buf=B 0x571FC733
HASH layer=1 t=56 buf=B 0x43A3268E
HASH layer=1 t=57 buf=B 0x096134DF
HASH layer=1 t=58 buf=B 0xD627022C
HASH layer=1 t=59 buf=B 0x9CE5107D
HASH layer=1 t=60 buf=B 0xB3DA698B
HASH layer=1 t=61 buf=B 0xF9187BDA
HASH layer=1 t=62 buf=B 0x265E4D29
HASH layer=1 t=63 buf=B 0x6C9C5F78
TRACE_HASH_END count=128
[PASS] sample 6 label=5 pred=5 counts=[0 0 0 0 0 11 6 0 0 0]
TRACE_HASH_BEGIN config=v2b_fc_fashion14_2L host=arm sample=7
HASH layer=0 t=0 buf=A 0xC7F0DFD3
HASH layer=0 t=1 buf=A 0x0A864762
HASH layer=0 t=2 buf=A 0x7540F782
HASH layer=0 t=3 buf=A 0xF88A95EC
HASH layer=0 t=4 buf=A 0x58924636
HASH layer=0 t=5 buf=A 0x4E749027
HASH layer=0 t=6 buf=A 0x1932114C
HASH layer=0 t=7 buf=A 0x25559341
HASH layer=0 t=8 buf=A 0x727AF5FB
HASH layer=0 t=9 buf=A 0x04D54367
HASH layer=0 t=10 buf=A 0xCB55256D
HASH layer=0 t=11 buf=A 0xBB9C8EA4
HASH layer=0 t=12 buf=A 0x54C6BA9B
HASH layer=0 t=13 buf=A 0x6C1FC64F
HASH layer=0 t=14 buf=A 0xCAF0458D
HASH layer=0 t=15 buf=A 0xC0A61E71
HASH layer=0 t=16 buf=A 0x0DCB6D2D
HASH layer=0 t=17 buf=A 0x2995DD0D
HASH layer=0 t=18 buf=A 0xEB5AE493
HASH layer=0 t=19 buf=A 0x2484A14E
HASH layer=0 t=20 buf=A 0x6DC7E4ED
HASH layer=0 t=21 buf=A 0xF8CDC175
HASH layer=0 t=22 buf=A 0x4D651466
HASH layer=0 t=23 buf=A 0xC3AA4FBE
HASH layer=0 t=24 buf=A 0xFAE6A7C9
HASH layer=0 t=25 buf=A 0xC96D045B
HASH layer=0 t=26 buf=A 0xFF2D9122
HASH layer=0 t=27 buf=A 0x858B38D5
HASH layer=0 t=28 buf=A 0x575F4B2E
HASH layer=0 t=29 buf=A 0x2BE6C448
HASH layer=0 t=30 buf=A 0xAB379388
HASH layer=0 t=31 buf=A 0x19DD006A
HASH layer=0 t=32 buf=A 0x84C5ADD0
HASH layer=0 t=33 buf=A 0xEF99C92E
HASH layer=0 t=34 buf=A 0xD89F5412
HASH layer=0 t=35 buf=A 0xCA11A103
HASH layer=0 t=36 buf=A 0xA23C68CA
HASH layer=0 t=37 buf=A 0xAACDD04A
HASH layer=0 t=38 buf=A 0x915EBD92
HASH layer=0 t=39 buf=A 0xBE01A6A2
HASH layer=0 t=40 buf=A 0x6320B8BB
HASH layer=0 t=41 buf=A 0xC2A8C764
HASH layer=0 t=42 buf=A 0xD0B11BCF
HASH layer=0 t=43 buf=A 0xCAFFDDC8
HASH layer=0 t=44 buf=A 0x80DC48F1
HASH layer=0 t=45 buf=A 0xDD557099
HASH layer=0 t=46 buf=A 0xAE99D8C7
HASH layer=0 t=47 buf=A 0xB9F59D49
HASH layer=0 t=48 buf=A 0x4BB05A02
HASH layer=0 t=49 buf=A 0x86C69BF8
HASH layer=0 t=50 buf=A 0x3B1A6D47
HASH layer=0 t=51 buf=A 0x644CC27C
HASH layer=0 t=52 buf=A 0x2C41A3A3
HASH layer=0 t=53 buf=A 0x604B6288
HASH layer=0 t=54 buf=A 0xFF4AD6AB
HASH layer=0 t=55 buf=A 0x2A54F1DE
HASH layer=0 t=56 buf=A 0x1FDA1E46
HASH layer=0 t=57 buf=A 0xB8EAC5F6
HASH layer=0 t=58 buf=A 0xE1104803
HASH layer=0 t=59 buf=A 0x88888A0E
HASH layer=0 t=60 buf=A 0xD4D9169F
HASH layer=0 t=61 buf=A 0x3307F128
HASH layer=0 t=62 buf=A 0x3E5DA9C8
HASH layer=0 t=63 buf=A 0x686763B1
HASH layer=1 t=0 buf=B 0xE129EF7F
HASH layer=1 t=1 buf=B 0x4DFBB2B0
HASH layer=1 t=2 buf=B 0x92BD8443
HASH layer=1 t=3 buf=B 0xD87F9612
HASH layer=1 t=4 buf=B 0xF740EFE4
HASH layer=1 t=5 buf=B 0xBD82FDB5
HASH layer=1 t=6 buf=B 0x62C4CB46
HASH layer=1 t=7 buf=B 0x2806D917
HASH layer=1 t=8 buf=B 0x3CBA38AA
HASH layer=1 t=9 buf=B 0x76782AFB
HASH layer=1 t=10 buf=B 0xA93E1C08
HASH layer=1 t=11 buf=B 0xE3FC0E59
HASH layer=1 t=12 buf=B 0xCCC377AF
HASH layer=1 t=13 buf=B 0x860165FE
HASH layer=1 t=14 buf=B 0x5947530D
HASH layer=1 t=15 buf=B 0x1385415C
HASH layer=1 t=16 buf=B 0x703E9077
HASH layer=1 t=17 buf=B 0x3AFC8226
HASH layer=1 t=18 buf=B 0xE5BAB4D5
HASH layer=1 t=19 buf=B 0xAF78A684
HASH layer=1 t=20 buf=B 0x8047DF72
HASH layer=1 t=21 buf=B 0xCA85CD23
HASH layer=1 t=22 buf=B 0x15C3FBD0
HASH layer=1 t=23 buf=B 0x5F01E981
HASH layer=1 t=24 buf=B 0x4BBD083C
HASH layer=1 t=25 buf=B 0x017F1A6D
HASH layer=1 t=26 buf=B 0xDE392C9E
HASH layer=1 t=27 buf=B 0x94FB3ECF
HASH layer=1 t=28 buf=B 0xBBC44739
HASH layer=1 t=29 buf=B 0xF1065568
HASH layer=1 t=30 buf=B 0x2E40639B
HASH layer=1 t=31 buf=B 0x648271CA
HASH layer=1 t=32 buf=B 0xE937C1CD
HASH layer=1 t=33 buf=B 0xA3F5D39C
HASH layer=1 t=34 buf=B 0x7CB3E56F
HASH layer=1 t=35 buf=B 0x3671F73E
HASH layer=1 t=36 buf=B 0x194E8EC8
HASH layer=1 t=37 buf=B 0x538C9C99
HASH layer=1 t=38 buf=B 0x8CCAAA6A
HASH layer=1 t=39 buf=B 0xC608B83B
HASH layer=1 t=40 buf=B 0xD2B45986
HASH layer=1 t=41 buf=B 0x98764BD7
HASH layer=1 t=42 buf=B 0x47307D24
HASH layer=1 t=43 buf=B 0x0DF26F75
HASH layer=1 t=44 buf=B 0x22CD1683
HASH layer=1 t=45 buf=B 0x680F04D2
HASH layer=1 t=46 buf=B 0xB7493221
HASH layer=1 t=47 buf=B 0xFD8B2070
HASH layer=1 t=48 buf=B 0x9E30F15B
HASH layer=1 t=49 buf=B 0xD4F2E30A
HASH layer=1 t=50 buf=B 0x0BB4D5F9
HASH layer=1 t=51 buf=B 0x4176C7A8
HASH layer=1 t=52 buf=B 0x6E49BE5E
HASH layer=1 t=53 buf=B 0x248BAC0F
HASH layer=1 t=54 buf=B 0xFBCD9AFC
HASH layer=1 t=55 buf=B 0xB10F88AD
HASH layer=1 t=56 buf=B 0xA5B36910
HASH layer=1 t=57 buf=B 0xEF717B41
HASH layer=1 t=58 buf=B 0x30374DB2
HASH layer=1 t=59 buf=B 0x7AF55FE3
HASH layer=1 t=60 buf=B 0x55CA2615
HASH layer=1 t=61 buf=B 0x1F083444
HASH layer=1 t=62 buf=B 0xC04E02B7
HASH layer=1 t=63 buf=B 0x8A8C10E6
TRACE_HASH_END count=128
[PASS] sample 7 label=7 pred=7 counts=[0 0 0 0 0 0 0 63 0 0]
TRACE_HASH_BEGIN config=v2b_fc_fashion14_2L host=arm sample=8
HASH layer=0 t=0 buf=A 0xC7F0DFD3
HASH layer=0 t=1 buf=A 0xC9D6E54D
HASH layer=0 t=2 buf=A 0xA720FB9E
HASH layer=0 t=3 buf=A 0x2EFB1CCA
HASH layer=0 t=4 buf=A 0x81E6F1D2
HASH layer=0 t=5 buf=A 0x3DA1CEE8
HASH layer=0 t=6 buf=A 0x246BB995
HASH layer=0 t=7 buf=A 0xB9206AF4
HASH layer=0 t=8 buf=A 0x3B0B982E
HASH layer=0 t=9 buf=A 0x30C24F70
HASH layer=0 t=10 buf=A 0xF7134054
HASH layer=0 t=11 buf=A 0xA72345A7
HASH layer=0 t=12 buf=A 0x96BF75C6
HASH layer=0 t=13 buf=A 0xF297DF2C
HASH layer=0 t=14 buf=A 0xBCAEAB5E
HASH layer=0 t=15 buf=A 0x21897674
HASH layer=0 t=16 buf=A 0x533AFBA1
HASH layer=0 t=17 buf=A 0x006C1069
HASH layer=0 t=18 buf=A 0xA4251A4C
HASH layer=0 t=19 buf=A 0x0FD28C91
